"Sample Index","Output","Actual"
"0","1.000000","1.000000",
"1","-0.000000","-0.000000",
"2","-1.000000","-1.000000",
"3","0.000000","0.000000",
"4","1.000000","1.000000",
"5","-0.000000","-0.000000",
"6","-1.000000","-1.000000",
"7","0.000000","0.000001",
"8","1.000000","1.000000",
"9","-0.000000","-0.000000",
"10","-1.000000","-1.000000",
"11","0.000000","0.000001",
"12","1.000000","1.000000",
"13","-0.000001","-0.000001",
"14","-1.000000","-1.000000",
"15","0.000001","0.000000",
"16","1.000000","1.000000",
"17","-0.000001","-0.000001",
"18","-1.000000","-1.000000",
"19","0.000001","0.000001",
"20","1.000000","1.000000",
"21","-0.000001","-0.000002",
"22","-1.000000","-1.000000",
"23","0.000001","-0.000001",
"24","1.000000","1.000000",
"25","-0.000001","-0.000001",
"26","-1.000000","-1.000000",
"27","0.000001","0.000002",
"28","1.000000","1.000000",
"29","-0.000001","0.000001",
"30","-1.000000","-1.000000",
"31","0.000001","0.000001",
"32","1.000000","1.000000",
"33","-0.000001","-0.000002",
"34","-1.000000","-1.000000",
"35","0.000002","0.000003",
"36","1.000000","1.000000",
"37","-0.000002","-0.000001",
"38","-1.000000","-1.000000",
"39","0.000002","0.000002",
"40","1.000000","1.000000",
"41","-0.000002","0.000000",
"42","-1.000000","-1.000000",
"43","0.000002","0.000001",
"44","1.000000","1.000000",
"45","-0.000002","-0.000002",
"46","-1.000000","-1.000000",
"47","0.000002","0.000003",
"48","1.000000","1.000000",
"49","-0.000002","-0.000005",
"50","-1.000000","-1.000000",
"51","0.000002","0.000006",
"52","1.000000","1.000000",
"53","-0.000002","0.000000",
"54","-1.000000","-1.000000",
"55","0.000002","0.000001",
"56","1.000000","1.000000",
"57","-0.000002","-0.000002",
"58","-1.000000","-1.000000",
"59","0.000003","0.000003",
"60","1.000000","1.000000",
"61","-0.000003","-0.000005",
"62","-1.000000","-1.000000",
"63","0.000003","0.000006",
"64","1.000000","1.000000",
"65","-0.000003","0.000000",
"66","-1.000000","-1.000000",
"67","0.000003","0.000001",
"68","1.000000","1.000000",
"69","-0.000003","-0.000002",
"70","-1.000000","-1.000000",
"71","0.000003","0.000003",
"72","1.000000","1.000000",
"73","-0.000003","-0.000005",
"74","-1.000000","-1.000000",
"75","0.000003","0.000006",
"76","1.000000","1.000000",
"77","-0.000003","0.000000",
"78","-1.000000","-1.000000",
"79","0.000003","0.000001",
"80","1.000000","1.000000",
"81","-0.000004","-0.000002",
"82","-1.000000","-1.000000",
"83","0.000004","0.000004",
"84","1.000000","1.000000",
"85","-0.000004","0.000003",
"86","-1.000000","-1.000000",
"87","0.000004","0.000006",
"88","1.000000","1.000000",
"89","-0.000004","0.000000",
"90","-1.000000","-1.000000",
"91","0.000004","0.000009",
"92","1.000000","1.000000",
"93","-0.000004","-0.000002",
"94","-1.000000","-1.000000",
"95","0.000004","0.000011",
"96","1.000000","1.000000",
"97","-0.000004","-0.000005",
"98","-1.000000","-1.000000",
"99","0.000004","-0.000002",
